SKU,BRAND,IME PRODUKTA,KATEGORIJA,PODKATEGORIJA,PODPODKATEGORIJA,KRATEK OPIS,DOLGI OPIS,CENA,SLIKE,URL
L052BA00,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (evropska različica) -2m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,evropska različica | 2m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – evropska različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – evropska različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem
        delovnega pozicioniranja za dopolnitev sistema za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje evropske in ruske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci so opremljeni s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abr
","189,00","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-european-version
L052BA01,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (evropska različica) -3m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,evropska različica | 3m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – evropska različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – evropska različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem
        delovnega pozicioniranja za dopolnitev sistema za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje evropske in ruske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci so opremljeni s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abr
","192,00","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-european-version
L052BA02,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (evropska različica) -4m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,evropska različica | 4m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – evropska različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – evropska različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem
        delovnega pozicioniranja za dopolnitev sistema za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje evropske in ruske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci so opremljeni s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abr
","194,90","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-european-version
L052BA03,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (evropska različica) -5m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,evropska različica | 5m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – evropska različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – evropska različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem
        delovnega pozicioniranja za dopolnitev sistema za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje evropske in ruske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci so opremljeni s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abr
","197,90","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-european-version
LO52CA00,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (internacionalna različica) -2m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,internacionalna  različica | 2m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> ANSI Z359.3, CSA Z259.11, CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem delovnega pozicioniranja
        za dopolnitev sistemov za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje mednarodne in evropske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abrazivnimi površinami</li>
        <li>možnost nakupa rezervnih vrvi</li>
    </ul>

</body>
</html>
","194,90","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-international-version
LO52CA01,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (internacionalna različica) -3m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,internacionalna  različica | 3m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> ANSI Z359.3, CSA Z259.11, CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem delovnega pozicioniranja
        za dopolnitev sistemov za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje mednarodne in evropske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abrazivnimi površinami</li>
        <li>možnost nakupa rezervnih vrvi</li>
    </ul>

</body>
</html>
","197,90","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-international-version
LO52CA02,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (internacionalna različica) -4m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,internacionalna  različica | 4m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> ANSI Z359.3, CSA Z259.11, CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem delovnega pozicioniranja
        za dopolnitev sistemov za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje mednarodne in evropske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abrazivnimi površinami</li>
        <li>možnost nakupa rezervnih vrvi</li>
    </ul>

</body>
</html>
","200,80","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-international-version
LO52CA03,PETZL,Nastavljivi položajnik  PETZL GRILLON HOOK (internacionalna različica) -5m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,internacionalna  različica | 5m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</title>
</head>
<body>

    <h1>Nastavljivi PETZL GRILLON HOOK – mednarodna različica</h1>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Material:</strong> najlon, poliester, aluminij</li>
        <li><strong>Certifikacija:</strong> ANSI Z359.3, CSA Z259.11, CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

    <h2>Opis</h2>
    <p>
        Nastavljivi GRILLON HOOK se uporablja kot sistem delovnega pozicioniranja
        za dopolnitev sistemov za zaustavitev padca.
        Spojnik HOOK je idealen za uporabo dvojnega načina varovalne vrvi
        na stranskih pritrdilnih točkah pasu.
    </p>

    <p>
        Izdelek izpolnjuje mednarodne in evropske varnostne standarde.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>natančna nastavitev dolžine z vrtljivo ekscentrično ročico</li>
        <li>uporaba v dvojnem načinu</li>
        <li>konci s plastičnimi zaščitami proti obrabi</li>
        <li>zaščitni pokrov za zaščito pred abrazivnimi površinami</li>
        <li>možnost nakupa rezervnih vrvi</li>
    </ul>

</body>
</html>
","203,80","https://skyman-cz.s9.cdn-upgates.com/_cache/1/f/1f…85f9971fe31-c10f66955690577ffd45b7a9ce0d303f.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/1/8/18…85f9972f058-b783224ea2320db68472c6d8b7087cb4.jpeg",https://www.skyman.cz/en/p/adjustable-connector-with-petzl-grillon-hook-international-version
L052DA00,PETZL,GRILLON MGO -2m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,z vponko  MGO | 2m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Pozicijska varovalna vrv PETZL GRILLON MGO</title>
</head>
<body>

    <h1>Pozicijska varovalna vrv PETZL GRILLON MGO</h1>

    <p>
        Nastavljiva varovalna vrv GRILLON MGO se uporablja za vzpostavitev sistema
        delovnega pozicioniranja kot dopolnitev sistema za zaustavitev padca.
        Dolžino je mogoče enostavno in natančno prilagoditi za udoben delovni položaj.
    </p>

    <p>
        Glede na način uporabe se lahko uporablja enojno ali dvojno.
        Vponka MGO z veliko odprtino omogoča enostavno pripenjanje na kovinske konstrukcije.
        Izdelek je certificiran za uporabo v Severni Ameriki, Evropi in Rusiji.
    </p>

    <h2>Načini uporabe</h2>
    <ul>
        <li>
            <strong>dvojna uporaba:</strong> uporaba na stranskih pritrdilnih točkah pasu,
            kadar mora uporabnik delati z obremenitvijo na nogah; položaj se natančno
            nastavlja s pritiskom na vrtljivo ekscentrično ročico naprave
        </li>
        <li>
            <strong>enojna uporaba:</strong> če je sidrna točka neposredno nad uporabnikom,
            se GRILLON MGO poveže iz sidrne točke neposredno na sprednjo pritrdilno točko pasu;
            obremenitev se enakomerno porazdeli med pas in nožne zanke, položaj pa se
            prilagaja z ročico, medtem ko uporabnik z drugo roko drži prosti konec vrvi
        </li>
    </ul>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Dolžina:</strong> 2 m, 3 m</li>
        <li><strong>Teža:</strong> 2 m – 1220 g, 3 m – 1300 g</li>
        <li><strong>Certifikacija:</strong> ANSI Z359.3, CSA Z259.11, CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

</body>
</html>
","224,40","https://skyman-cz.s9.cdn-upgates.com/_cache/5/1/51…585f8f0e750b-7eb307fe8e9158bebc4860c9b99aa1f2.jpg,        https://skyman-cz.s9.cdn-upgates.com/_cache/2/f/2f…585f8f103866-10fc376808a9af21f51cc2ea7e2138a8.jpg,https://skyman-cz.s9.cdn-upgates.com/_cache/d/c/dc…9a8d8ff93c609f02321b4586e4-petzl-grillon-mgo.webp",https://www.skyman.cz/en/p/petzl-grillon-mgo-positioning-lanyard
L052DA01,PETZL,GRILLON MGO -3m,PLEZALNA OPREMA,POLOŽAJNIKI,POLOŽAJNIK,z vponko   MGO  | 3m,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Pozicijska varovalna vrv PETZL GRILLON MGO</title>
</head>
<body>

    <h1>Pozicijska varovalna vrv PETZL GRILLON MGO</h1>

    <p>
        Nastavljiva varovalna vrv GRILLON MGO se uporablja za vzpostavitev sistema
        delovnega pozicioniranja kot dopolnitev sistema za zaustavitev padca.
        Dolžino je mogoče enostavno in natančno prilagoditi za udoben delovni položaj.
    </p>

    <p>
        Glede na način uporabe se lahko uporablja enojno ali dvojno.
        Vponka MGO z veliko odprtino omogoča enostavno pripenjanje na kovinske konstrukcije.
        Izdelek je certificiran za uporabo v Severni Ameriki, Evropi in Rusiji.
    </p>

    <h2>Načini uporabe</h2>
    <ul>
        <li>
            <strong>dvojna uporaba:</strong> uporaba na stranskih pritrdilnih točkah pasu,
            kadar mora uporabnik delati z obremenitvijo na nogah; položaj se natančno
            nastavlja s pritiskom na vrtljivo ekscentrično ročico naprave
        </li>
        <li>
            <strong>enojna uporaba:</strong> če je sidrna točka neposredno nad uporabnikom,
            se GRILLON MGO poveže iz sidrne točke neposredno na sprednjo pritrdilno točko pasu;
            obremenitev se enakomerno porazdeli med pas in nožne zanke, položaj pa se
            prilagaja z ročico, medtem ko uporabnik z drugo roko drži prosti konec vrvi
        </li>
    </ul>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Barva:</strong> belo-rumena</li>
        <li><strong>Dolžina:</strong> 2 m, 3 m</li>
        <li><strong>Teža:</strong> 2 m – 1220 g, 3 m – 1300 g</li>
        <li><strong>Certifikacija:</strong> ANSI Z359.3, CSA Z259.11, CE EN 358, CE EN 12841 tip C, EAC</li>
    </ul>

</body>
</html>
","227,40","https://skyman-cz.s9.cdn-upgates.com/_cache/5/1/51…585f8f0e750b-7eb307fe8e9158bebc4860c9b99aa1f2.jpg,        https://skyman-cz.s9.cdn-upgates.com/_cache/2/f/2f…585f8f103866-10fc376808a9af21f51cc2ea7e2138a8.jpg,https://skyman-cz.s9.cdn-upgates.com/_cache/d/c/dc…9a8d8ff93c609f02321b4586e4-petzl-grillon-mgo.webp",https://www.skyman.cz/en/p/petzl-grillon-mgo-positioning-lanyard
L071AA01,Petzl,PETZL ASAP ABSORBER 20,KOVINSKA OPREMA ,PLEZALNE NAPRAVE,ABSORBERJI IN NAPRAVE ZA ZAUSTAVITEV PADCA,Zaščita pred padci z integrirano zanko Petzl.,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Dušilec padca PETZL ASAPSORBER – 20 cm</title>
</head>
<body>

    <h1>Dušilec padca PETZL ASAPSORBER – 20 cm</h1>

    <p>Dušilec padca PETZL ASAPSORBER.</p>

    <h2>Opis</h2>
    <p>
        Dušilec padca je zasnovan za povezavo premičnega lovilca padca
        PETZL ASAP in ASAP LOCK s plezalnim pasom.
        Dušilni trak je nameščen v zaščitnem ohišju, ki se odpira na obeh koncih,
        ščiti dušilec pred obrabo ter omogoča redni vizualni pregled.
    </p>

    <h2>Tehnični podatki – ASAPSORBER 20 cm</h2>
    <ul>
        <li><strong>Dolžina:</strong> 20 cm</li>
        <li><strong>Teža:</strong> 125 g</li>
        <li><strong>Material:</strong> najlon, poliester</li>
        <li><strong>Zahtevana prosta globina:</strong> 3,15 m</li>
        <li><strong>Certifikacija:</strong> CE EN 355, EAC, ANSI Z359.13 (6 ft)</li>
    </ul>

    <h2>Tehnični podatki – ASAPSORBER 40 cm</h2>
    <ul>
        <li><strong>Dolžina:</strong> 40 cm</li>
        <li><strong>Teža:</strong> 145 g</li>
        <li><strong>Material:</strong> najlon, poliester</li>
        <li><strong>Zahtevana prosta globina:</strong> 3,50 m</li>
        <li><strong>Certifikacija:</strong> CE EN 355, EAC, ANSI Z359.13 (6 ft)</li>
    </ul>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>povečuje razdaljo do vrvi, s čimer poveča delovni prostor in ščiti vrv pred ostrimi orodji</li>
        <li>delovno območje obremenitve: 50–130 kg</li>
        <li>konci so opremljeni z zaščitami STRING, ki ohranjajo vponke v pravilnem položaju</li>
        <li>zaščitno ohišje ščiti dušilec pred obrabo in omogoča enostaven pregled</li>
    </ul>

</body>
</html>
","35,40",https://skyman-cz.s9.cdn-upgates.com/_cache/b/d/bd…85fb243c33d-b2239c3790b40ecd369dcd8920f0a454.jpeg,https://www.skyman.cz/en/p/fall-absorber-petzl-asapsorber-20-cm
L071AA00,Petzl,PETZL ASAP ABSORBER 40,KOVINSKA OPREMA ,PLEZALNE NAPRAVE,ABSORBERJI IN NAPRAVE ZA ZAUSTAVITEV PADCA,Zaščita pred padci z integrirano zanko Petzl.,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Dušilec padca PETZL ASAP’SORBER – 40 cm</title>
</head>
<body>

    <h1>Dušilec padca PETZL ASAP’SORBER – 40 cm</h1>

    <p>Dušilec padca PETZL ASAP’SORBER.</p>

    <h2>Opis</h2>
    <p>
        Dušilec padca je zasnovan za povezavo premičnega lovilca padca
        PETZL ASAP in ASAP LOCK s plezalnim pasom.
        Dušilni trak je nameščen v zaščitnem ohišju, ki se odpira na obeh koncih,
        ščiti dušilec pred obrabo ter omogoča redni vizualni pregled.
    </p>

    <h2>Tehnični podatki – ASAP’SORBER 40 cm</h2>
    <ul>
        <li><strong>Dolžina:</strong> 40 cm</li>
        <li><strong>Teža:</strong> 145 g</li>
        <li><strong>Material:</strong> najlon, poliester</li>
        <li><strong>Zahtevana prosta globina:</strong> 3,50 m</li>
        <li><strong>Certifikacija:</strong> CE EN 355, EAC, ANSI Z359.13 (6 ft)</li>
    </ul>

    <h2>Primerjava z različico 20 cm</h2>
    <ul>
        <li><strong>Dolžina:</strong> 20 cm</li>
        <li><strong>Teža:</strong> 125 g</li>
        <li><strong>Zahtevana prosta globina:</strong> 3,15 m</li>
        <li><strong>Certifikacija:</strong> CE EN 355, EAC, ANSI Z359.13 (6 ft)</li>
    </ul>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>ohranja vrv na večji razdalji, kar poveča delovni prostor in ščiti vrv pred ostrimi orodji</li>
        <li>delovno območje obremenitve: 50–130 kg</li>
        <li>konci so opremljeni z zaščitami STRING, ki ohranjajo vponke v pravilnem položaju</li>
        <li>zaščitno ohišje ščiti dušilec pred obrabo in omogoča enostaven pregled</li>
    </ul>

</body>
</html>
","41,40",https://skyman-cz.s9.cdn-upgates.com/_cache/d/c/dc…85fb2495b72-209aa08a9d20df9ae0ed996f11dbc006.jpeg,https://www.skyman.cz/en/p/fall-absorber-petzl-asap-sorber-40-cm
B070AA00,Petzl,Petzl ASAP,KOVINSKA OPREMA ,PLEZALNE NAPRAVE,ABSORBERJI IN NAPRAVE ZA ZAUSTAVITEV PADCA,S svojim edinstvenim sistemom zaklepanja ASAP postavlja standard pri zaščiti pred padci za delavce na višini,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>PETZL ASAP</title>
</head>
<body>

    <h1>PETZL ASAP</h1>

    <p>Mobilna varovalna naprava PETZL ASAP.</p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Material:</strong> aluminij, nerjaveče jeklo</li>
        <li><strong>Premer vrvi:</strong> 10,5–13 mm</li>
        <li><strong>Teža:</strong> 295 g</li>
        <li><strong>Certifikacija:</strong> CE EN 353-2, CE EN 12841 tip A</li>
    </ul>

    <h2>Opis</h2>
    <p>
        PETZL ASAP zagotavlja stalno zaščito uporabnika pri padcih,
        zdrsih in nenadzorovanih spuščanjih. Uporablja se lahko
        na navpični ali poševni vrvi.
    </p>

    <p>
        Naprava se prosto pomika gor in dol po varovalni vrvi brez potrebe
        po dodatnem upravljanju. Za delo na večji razdalji od vrvi jo je mogoče
        kombinirati z dušilcem padca ASAP’SORBER ali ASAP’SORBER AXESS.
    </p>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>blokira se na vrvi tudi v primeru, da uporabnik med padcem prime vrv</li>
        <li>enostavna namestitev in odstranitev na katerem koli mestu na vrvi</li>
        <li>EAC certifikat ob uporabi z vponko OK TRIACT-LOCK in vrvjo EN 1891 tip A (10–13 mm)</li>
        <li>ANSI Z359.15 ob uporabi z dušilcem padca ASAP’SORBER ali ASAP’SORBER AXESS
            ter vponko Bm’D ali OXAN TRIACT-LOCK CAPTIVE</li>
    </ul>

</body>
</html>
","177,20","https://skyman-cz.s9.cdn-upgates.com/_cache/3/5/35…85fa4d45295-d76065635de1aa33c912c1581c25184e.jpeg,        https://skyman-cz.s9.cdn-upgates.com/_cache/a/d/ad…85fa4d63fca-d169d8d8a1b804b56a1e606e91edd869.jpeg,https://skyman-cz.s9.cdn-upgates.com/_cache/4/4/44…585fa4d730c4-9c3e049828ca8caa1da213aa7b1f6903.jpg,https://skyman-cz.s9.cdn-upgates.com/_cache/0/9/09…585fa4d55292-a03a2748f457f112cc6cf1da167f4484.jpg",https://www.skyman.cz/en/p/petzl-asap-fall-arrester
P65A,Petzl,Petzl dvojni škripec TWIN,KOVINSKA OPREMA ,ŠKRIPCI,DVOJNI ŠKRIPCI,MBS 36 kN || WLL 12 kN || učinkovitost 97 % || teža 450 g || premer vrvi 7–13 mm,"<!DOCTYPE html>
<html lang=""sl"">
<head>
    <meta charset=""UTF-8"">
    <title>Dvojni škripec PETZL TWIN</title>
</head>
<body>

    <h1>Dvojni škripec PETZL TWIN</h1>

    <p>Dvojni škripec PETZL TWIN.</p>

    <h2>Tehnični podatki</h2>
    <ul>
        <li><strong>Teža:</strong> 450 g</li>
        <li><strong>Premer vrvi:</strong> 7–13 mm</li>
        <li><strong>Premer škripca:</strong> 51 mm</li>
        <li><strong>Učinkovitost:</strong> 97 %</li>
        <li><strong>Delovna obremenitev (WLL):</strong> 12 kN</li>
        <li><strong>Pretržna sila (MBS):</strong> 36 kN</li>
        <li><strong>Tip ležajev:</strong> kroglični ležaji</li>
        <li><strong>Certifikacija:</strong> CE EN 12278 / UIAA, NFPA 1983 (splošna uporaba)</li>
    </ul>

    <h2>Lastnosti izdelka</h2>
    <ul>
        <li>posebno oblikovane stranske plošče za uporabo s Prusikovimi vozli v lahkih reševalnih sistemih</li>
        <li>vzporedna postavitev kolesc in pomožna pritrdilna odprtina omogočata izdelavo različnih sistemov dvigovanja</li>
        <li>aluminijasta kolesca velikega premera, nameščena na zaprtih krogličnih ležajih, zagotavljajo izjemno učinkovitost</li>
        <li>pritrdilno uho omogoča uporabo do treh vponk hkrati</li>
    </ul>

    <h2>Dodatni podatki</h2>
    <ul>
        <li><strong>Oznaka izdelka (MPN):</strong> P65A</li>
        <li><strong>Standardi:</strong> EN 12278, NFPA 1983 (General use)</li>
    </ul>

</body>
</html>
","129,90",https://skyman-cz.s9.cdn-upgates.com/_cache/8/f/8f…585f963cc060-6eac63d8786ab28ef15c8ba42a7b5fb4.jpg,https://www.skyman.cz/en/p/double-pulley-petzl-twin#
